   2 54     7.3    2064    800.9   16.5  67   10.4   80   8.3
   2 56     7.2    2076    799.8   16.4  67   10.3   80   8.3
   2 58     7.0    2089    798.6   16.2  68   10.3   79   8.3
   3  0     6.9    2103    797.2   16.1  68   10.2   78   8.4
   3  2     7.0    2118    795.9   16.0  68   10.1   76   8.5
   3  4     6.9    2132    794.5   15.9  68   10.0   75   8.7
   3  6     6.9    2147    793.2   15.8  69   10.1   73   9.0
   3  8     6.9    2159    792.0   15.7  69   10.0   71   9.2
   3 10     6.8    2172    790.8   15.6  69   10.0   69   9.6
   3 12     6.8    2184    789.7   15.5  70   10.1   68   9.9
   3 14     6.9    2199    788.3   15.4  70   10.0   67  10.3
   3 16     6.8    2213    787.0   15.3  70    9.9   66  10.6
   3 18     6.8    2228    785.6   15.1  70    9.7   66  11.0
   3 20     6.7    2240    784.5   15.2  70    9.8   67  11.3
   3 22     6.7    2253    783.3   15.1  70    9.7   67  11.7
   3 24     6.8    2267    782.0   15.1  69    9.5   68  12.0
   3 26     6.8    2280    780.9   15.1  68    9.3   69  12.3
   3 28     6.8    2294    779.5   15.1  68    9.3   71  12.6
   3 30     6.9    2309    778.2   14.9  68    9.1   72  12.9
   3 32     6.8    2321    777.1   15.0  68    9.2   73  13.1
   3 34     6.7    2334    775.9   15.1  69    9.5   75  13.3
   3 36     6.6    2344    775.0   15.0  70    9.6   76  13.5
   3 38     6.7    2361    773.5   15.0  70    9.6   77  13.7
   3 40     6.8    2375    772.1   15.0  71    9.8   79  13.8
   3 42     6.8    2387    771.0   15.0  71    9.8   80  13.9
   3 44     6.7    2400    769.9   14.9  72    9.9   81  13.9
   3 46     6.6    2412    768.8   14.8  72    9.8   82  13.9
   3 48     6.6    2425    767.6   14.7  73    9.9   83  13.9
   3 50     6.6    2437    766.5   14.6  73    9.8   83  13.9
   3 52     6.6    2450    765.4   14.5  73    9.7   83  13.8
   3 54     6.5    2462    764.3   14.3  73    9.5   83  13.7
   3 56     6.5    2474    763.1   14.3  74    9.7   83  13.6
   3 58     6.4    2487    762.0   14.2  74    9.6   83  13.4
   4  0     6.3    2499    760.9   14.1  75    9.7   82  13.3
   4  2     6.4    2514    759.6   14.0  75    9.7   82  13.1
   4  4     6.4    2526    758.5   13.8  75    9.5   81  12.9
   4  6     6.5    2538    757.4   13.7  75    9.4   81  12.7
   4  8     6.4    2553    756.1   13.6  75    9.3   80  12.5
   4 10     6.4    2567    754.8   13.5  76    9.4   80  12.3
   4 12     6.5    2582    753.5   13.4  76    9.3   80  12.1
   4 14     6.4    2592    752.6   13.3  76    9.2   80  11.9
   4 16     6.4    2604    751.5   13.3  76    9.2   80  11.8
   4 18     6.3    2615    750.6   13.2  76    9.1   80  11.7
   4 20     6.3    2627    749.5   13.1  76    9.0   80  11.7
   4 22     6.4    2641    748.2   13.7  72    8.8   80  11.8
   4 24     6.4    2654    747.1   14.1  68    8.3   80  11.9
   4 26     6.4    2666    746.0   14.0  67    8.0   81  12.0
   4 28     6.4    2679    744.9   14.0  66    7.8   81  12.2
   4 30     6.5    2693    743.7   13.9  65    7.4   81  12.4
   4 32     6.4    2707    742.4   13.8  65    7.4   81  12.6
   4 34     6.5    2720    741.3   13.8  65    7.4   81  12.9
   4 36     6.5    2732    740.2   13.7  65    7.3   81  13.2
   4 38     6.4    2745    739.1   13.7  65    7.3   80  13.5
   4 40     6.3    2757    738.0   13.7  65    7.3   80  13.7
   4 42     6.3    2771    736.8   13.6  65    7.2   80  13.9
   4 44     6.4    2784    735.7   13.4  65    7.0   79  14.1
   4 46     6.4    2796    734.6   13.3  65    6.9   79  14.3
   4 48     6.5    2810    733.4   13.2  66    7.0   79  14.4
   4 50     6.5    2823    732.3   13.1  66    6.9   79  14.5
   4 52     6.4    2833    731.4   13.1  66    6.9   79  14.5
   4 54     6.4    2845    730.3   13.1  64    6.5   79  14.5
   4 56     6.3    2856    729.4   13.2  62    6.1   79  14.4
   4 58     6.3    2868    728.4   13.3  61    6.0   80  14.3
   5  0     6.3    2882    727.1   13.4  60    5.8   80  14.2
   5  2     6.3    2897    725.9   13.5  59    5.7   81  14.1
   5  4     6.4    2911    724.7   13.5  58    5.4   81  14.0
   5  6     6.4    2924    723.6   13.4  57    5.1   82  13.9
   5  8     6.4    2938    722.4   13.3  57    5.0   82  13.9
   5 10     6.4    2950    721.3   13.3  57    5.0   82  13.8
   5 12     6.5    2965    720.1   13.2  57    4.9   82  13.8
   5 14     6.4    2977    719.0   13.2  56    4.6   83  13.9
   5 16     6.5    2991    717.8   13.2  55    4.4   83  13.9
   5 18     6.5    3006    716.6   13.2  55    4.4   83  14.0
   5 20     6.5    3018    715.5   13.1  56    4.5   83  14.0
   5 22     6.6    3031    714.5   13.0  56    4.4   83  14.0
   5 24     6.6    3043    713.4   13.0  56    4.4   83  14.0
   5 26     6.6    3053    712.5   13.0  55    4.2   83  14.0
   5 28     6.6    3065    711.5   12.9  55    4.1   83  14.0
   5 30     6.5    3078    710.5   12.9  55    4.1   82  14.0
   5 32     6.4    3090    709.4   12.9  55    4.1   82  13.9
   5 34     6.4    3102    708.4   12.9  56    4.4   82  13.8
   5 36     6.4    3117    707.2   12.9  56    4.4   82  13.7
   5 38     6.4    3129    706.1   13.0  55    4.2   81  13.7
   5 40     6.4    3143    704.9   13.0  55    4.2   81  13.6
   5 42     6.4    3156    703.9   13.0  54    3.9   80  13.5
   5 44     6.4    3170    702.7   12.8  54    3.7   80  13.4
